47,Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,Guntur Rural,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
48,Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,GUNTUR,Narasaraopeta,"09885222155, 09885838866",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
49,NRT Blood Bank,Andhra Pradesh,GUNTUR,Narasaraopeta,9985148884,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
50,Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,GUNTUR,Piduguralla,9849212042,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
51,Red Cross Blood Bank,Andhra Pradesh,GUNTUR,Repalle,9177883353,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
52,Area Hospital (Repeated),Andhra Pradesh,GUNTUR,Tenali,9866686760,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
53,APVVP District Hospital Blood Bank,Andhra Pradesh,GUNTUR,Tenali,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
54,Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,9247155622,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
55,Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"09849833321	",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
56,Area Hospital Blood Bank,Andhra Pradesh,KRISHNA,Gudivada,7799990904,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
57,Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,KRISHNA,Machilipatnam,NA,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
58,Government General Hospital (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,8662452244,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
59,Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHNA,Vijayawada,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
60,Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,9848124977,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
61,Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,9392120187,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
62,Lions Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,NA,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
63,University General Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,NA,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
64,M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,9246289777,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
65,Nagarjuna Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,9848141550,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
66,Saint Ann&#39;s Hospital Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
67,Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
