277,Ruban Memorial Hospital Blood Bank,Bihar,PATNA,Patna,8406003104,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
278,Jeevan Rekha Blood Bank,Bihar,PATNA,Patna,"09334123578, 09334978582, 09334123518",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
279,Indian Red Cross Society (IRCS) Blood Bank,Bihar,PURNIA,Purnia ,"09431025636, 09430970469, 09431268348, 09934559934",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
280,Sadar Hospital Purnia  Blood Bank ,Bihar,PURNIA,Purnia," 09939213483, 09431268348, 09334510634, 0943127662",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
281,Bose Clinic Blood Bank,Bihar,ROHTAS,Dehral on Sone,9470007662,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
282,Sadar Hospital Sasaram Blood Bank,Bihar,ROHTAS,Rohtas,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
283,Narayana Medical College and Hospital Blood Bank,Bihar,ROHTAS,Sasaram,"08405003052, 09431422803",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
284,Micro Blood Bank Sasaram,Bihar,ROHTAS,Sasaram,9771022515,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
285,Sadar Hospital Saharsa Blood Bank ,Bihar,SAHARSA,Saharsa,9934712522,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
286,Indian Red Cross Society (IRCS) Samastipur Blood Bank ,Bihar,SAMASTIPUR,Samastipur,"09934296282, ",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
287,Sadar Hospital Samastipur Blood Bank ,Bihar,SAMASTIPUR,Samastipur,"09661958888, 08051788761",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
288,Sadar Hospital Chhapra Blood Bank ,Bihar,SARAN,Chapra,078709 44325,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
289,Sadar Hospital Sheikhpura Blood Bank,Bihar,SHEIKHPURA,Sheikhpura,9631805193,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
290,Sadar Hospital Sitamarhi Blood Bank,Bihar,SITAMARHI,Sitamarhi,9473264433,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
291, Sadar Hospital Siwan Blood Bank,Bihar,SIWAN,Siwan,"082940 84226, 09431284168",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
292,P.N.H Mahatma Budh Educational and Research Centre Blood Bank ,Bihar,SIWAN,Siwan,"09852032870, 09430523283",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
293,Sadar Hospital Hajipur Blood Bank ,Bihar,VAISHALI,Hajipur,"09473191934, 09279220893",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
294,Maharani Janki Kunwar (MJK) Hospital Blood Bank,Bihar,WEST CHAMPARAN,Bettiah,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
363,Indian Red Cross Society (IRCS) Blood Bank,Delhi,CENTRAL DELHI,Delhi,9818228394,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
364,Dr. Ram Manohar Lohia Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
365,Sucheta Kriplani Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,9999441487,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
366,Govind Ballabh (G.B.) Pant Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,9718599012,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
367,"Regional Blood Tranfusion Center Blood bank, Central Zone",Delhi,CENTRAL DELHI,New Delhi,8800950606,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
368,Kasturba Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,9868142141,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
369,Sir Ganga Ram Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
370,Lal Bahadur Shastri Hospital Blood Bank,Delhi,EAST DELHI,Delhi,9582500318,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
371,Max Super Specialty Hospital Blood Bank,Delhi,EAST DELHI,Delhi,9911866565,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
372,Dr. Hedgewar Arogaya Sansthan Blood bank,Delhi,EAST DELHI,Delhi,9811100306,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
373,Lions Blood Bank East Delhi,Delhi,EAST DELHI,Delhi,"09717897507, 09717897509",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
374,Dharamshila Cancer Foundation and Research Centre Blood Bank,Delhi,EAST DELHI,New Delhi,9717567779,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
375,Northern Railway Central Hospital Blood Bank,Delhi,NEW DELHI,New Delhi,9717630541,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
376,Pushpawati Singhania Research Institute Blood bank,Delhi,NEW DELHI,New Delhi,8375968248,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
377,"Cardio Neuro Centre Blood Bank, AIIMS ",Delhi,NEW DELHI,New Delhi,9868398196,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
378,Hindu Rao Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
379,St. Stephen&#39;s Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,9868399207,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
380,Sant Pramanand Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,9818582204,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
381,Swami Dayanand Hospital Blood Bank,Delhi,NORTH EAST DELHI,Delhi,8506019595,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
382,Mission Jan Jagriti Blood Bank,Delhi,NORTH EAST DELHI,Delhi,9811210662,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
383,Central Poly Clinic Blood Bank,Delhi,NORTH EAST DELHI,New Delhi,9811157559,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
384,Sushruta Trauma Centre Blood Bank,Delhi,NORTH WEST DELHI,Delhi,9868399328,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
385,Sanjay Gandhi Memorial Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,8447734495,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
386,Sunder Lal Jain Charitable Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,9873439803,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
387,Max Super Specialty Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,9810994195,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
388,Lions Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"09717897500, 09717897520, 09717897504",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
389,Mission Jan Jagriti Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"08510888929, 08510888925",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
390,Saroj Super Speciality Hospital  Blood Bank,Delhi,NORTH WEST DELHI,Delhi,9818442406,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
391,Rajiv Gandhi Cancer Institute and Research Center Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"09599587154, 09810743903",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
392,Dr. Baba Sahab Ambedkar Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,9718599615,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
393,Delhi Heart and Lung Institute Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,9999909508,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
394,Park Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,7503141442,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
395,Fortis Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"09891239174, 09899863256",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
396,Pitampura Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"08130999395, 09810681450",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
397,Brahm Shakti Hospital and Research Centre Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,9868535861,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
398,Guru Tegh Bahadur Hospital Blood Bank,Delhi,SHAHDARA,Delhi,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
399,Holy Family Hospital Blood Bank,Delhi,SOUTH DELHI,Delhi,9716832373,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
400,Batra Hospital and Medical Research Centre Blood Bank,Delhi,SOUTH DELHI,Delhi,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
401,All India Institute of Medical Sciences (AIIMS) Blood Bank,Delhi,SOUTH DELHI,New Delhi,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
402,Safdarjung Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
403,Shri Moolchand Khariti-Ram Hospital and Ayurvedic Research Institute ,Delhi,SOUTH DELHI,New Delhi,8588955190,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
404,National Heart Institute Blood Bank,Delhi,SOUTH DELHI,New Delhi,9650186253,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
405,Max Super Specialty Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,9873081647,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
406,Saket City Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,9899673262,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
407,Rockland Hospital Qutab Blood Bank,Delhi,SOUTH DELHI,New Delhi,9958415656,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
408,Primus Ortho and Spine Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
409,White Cross Blood Bank,Delhi,SOUTH DELHI,New Delhi,9810304201,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
410,Rotary Blood Bank,Delhi,SOUTH DELHI,New Delhi,9868034748,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
411,Jai Prakash Narayan Apex Trauma Centre Blood Bank,Delhi,SOUTH DELHI,New Delhi,9868397275,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
412,Fortis Escort Heart Institute Blood Bank,Delhi,SOUTH DELHI,New Delhi,9873411881,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
413,Hakeem Abdul Hameed Centenary Hospital Blood Bank,Delhi,SOUTH EAST DELHI,New Delhi,9350621681,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
414,Apollo Hospital Blood Bank,Delhi,SOUTH EAST DELHI,New Delhi,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
415,Armed Forces Transfusion Centre Blood Bank,Delhi,SOUTH WEST DELHI,Delhi,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
416,Fortis Flt. Lt. Rajan Dhall Hospital Blood Bank,Delhi,SOUTH WEST DELHI,Delhi,9811419822,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
417,Institute of Liver and Biliary Sciences Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,9540946817,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
418,Mata Chanan Devi Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,9971802973,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
419,Bhagat Chandra Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
420,Indian Spinal Injuries Centre Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,9971975275,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
421,Bensups Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,9999138158,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
422,Blood Bank Organisation,Delhi,WEST DELHI,Delhi,9350584812,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
423,E. S. I. Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,9811073500,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
424,Maharaja Agrasen Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,9910426353,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
425,Sri Balaji Action Medical Institute Blood Bank,Delhi,WEST DELHI,New Delhi,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
426,Dr. B. L. Kapoor Memorial Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,9958436222,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
427,Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC) Blood Bank,Delhi,WEST DELHI,New Delhi,9871699688,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
428,"R.B.T.C (wz), Deen Dayal Upadhyay Hospital",Delhi,WEST DELHI,New Delhi,9718990241,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
429,Jaipur Golden Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,9968340243,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
430,Jan Jagriti Blood Bank,Delhi,WEST DELHI,New Delhi,"09811210662, 08510888929",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
431,District Hospital Blood Bank ,Goa,NORTH GOA,Mapusa,"07507965359	",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
432,Goa Medical College Blood Bank,Goa,NORTH GOA,Panaji,"09422641170	",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
433,Hospicio Hospital Blood Bank,Goa,SOUTH GOA,Margao,"09850456578	",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
434,Apollo Victor Hospital Blood Bank,Goa,SOUTH GOA,Margao,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
435,SMRC&#39;s V. M. Salgaocar Hospital Blood Bank,Goa,SOUTH GOA,Vasco,9049843109,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
675,MMAB memorial District Hospital  Blood Bank Anantnag,Jammu and Kashmir,ANANTNAG,Anantnag,01923 222170,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
